player_id,arrival_time,source,destination
0,0,16,12
1,2,5,22
2,8,23,12
3,9,4,16
4,13,15,23
5,13,8,16
6,28,12,13
7,28,8,3
8,34,8,9
9,35,9,13
10,57,17,19
11,59,8,20
12,78,6,18
13,86,8,18
14,105,17,11
15,106,13,12
16,107,24,8
17,108,12,22
18,116,23,13
19,120,2,23
20,121,14,22
21,123,7,10
22,128,3,18
23,128,19,12
24,134,12,22
25,137,21,8
26,138,11,13
27,141,17,14
28,143,2,1
29,146,16,9
30,148,6,13
31,151,6,4
32,160,24,1
33,165,10,19
34,170,15,8
35,172,3,1
36,173,11,24
37,177,16,19
38,178,11,7
39,180,4,3
40,189,6,12
41,190,21,9
42,191,10,11
43,198,2,5
44,202,16,19
45,203,18,10
46,210,13,21
47,214,8,24
48,216,10,6
49,222,2,19
50,224,24,21
51,231,24,22
52,231,4,10
53,232,2,3
54,234,18,11
55,238,2,15
56,241,12,23
57,244,10,3
58,247,6,18
59,249,11,19
60,251,24,23
61,251,14,23
62,252,20,3
63,260,9,12
64,264,7,6
65,266,16,6
66,270,4,16
67,272,6,20
68,281,19,18
69,282,6,14
70,288,17,12
71,293,2,4
72,303,13,17
73,304,21,23
74,315,6,16
75,316,5,2
76,316,18,19
77,316,5,3
78,317,16,8
79,317,15,17
80,322,6,23
81,325,19,7
82,328,6,24
83,329,8,17
84,330,9,6
85,331,9,13
86,336,18,3
87,337,10,24
88,337,2,3
89,343,8,5
90,345,16,19
91,349,5,22
92,354,6,18
93,358,8,12
94,360,18,7
95,361,22,12
96,362,2,21
97,365,10,5
98,370,19,4
99,372,18,10
100,379,7,8
101,382,23,15
102,384,1,24
103,388,6,14
104,390,23,16
105,391,14,23
106,391,10,22
107,395,16,11
108,403,3,20
109,406,15,24
110,410,23,7
111,416,21,18
112,417,5,12
113,418,21,8
114,418,11,13
115,419,9,20
116,421,4,16
117,426,3,12
118,429,20,12
119,430,18,10
120,432,8,13
121,434,23,6
122,434,19,6
123,436,7,19
124,439,12,3
125,440,15,21
126,442,19,21
127,445,24,11
128,449,7,18
129,449,13,22
130,456,3,5
131,459,19,7
132,462,21,8
133,462,23,18
134,466,21,9
135,466,1,13
136,468,10,20
137,473,8,12
138,473,22,1
139,475,10,21
140,475,5,24
141,482,24,9
142,483,24,8
143,485,20,9
144,490,13,22
145,491,18,7
146,493,24,22
147,495,24,21
148,498,5,11
149,498,3,14
150,498,19,13
151,504,2,13
152,504,1,20
153,505,7,6
154,507,6,2
155,511,6,10
156,515,19,15
157,518,14,16
158,525,1,16
159,527,8,5
160,533,8,19
161,538,20,7
162,541,23,19
163,542,6,22
164,542,17,16
165,544,16,21
166,554,20,23
167,562,19,20
168,566,23,14
169,568,24,10
170,573,19,24
171,576,19,6
172,583,8,15
173,585,20,9
174,588,17,10
175,604,17,4
176,613,13,6
177,615,21,7
178,617,4,20
179,619,11,18
180,621,19,10
181,632,7,17
182,633,22,23
183,634,1,14
184,638,17,2
185,639,4,12
186,639,9,13
187,643,9,1
188,645,1,8
189,648,2,15
190,649,8,4
191,662,8,17
192,668,22,21
193,672,6,21
194,672,5,23
195,672,23,1
196,678,17,7
197,679,15,9
198,680,16,11
199,683,15,3
200,687,23,1
201,690,21,24
202,695,23,15
203,699,14,1
204,706,9,16
205,709,16,18
206,710,9,23
207,711,8,2
208,714,21,1
209,716,3,18
210,721,19,20
211,724,17,14
212,741,4,14
213,741,13,12
214,746,16,15
215,748,13,19
216,753,2,23
217,763,12,24
218,769,12,17
219,779,3,21
220,780,18,17
221,782,9,12
222,784,17,9
223,785,9,20
224,789,8,10
225,789,1,18
226,798,3,15
227,799,24,18
228,809,15,11
229,813,20,5
230,815,3,7
231,821,18,4
232,826,11,1
233,826,3,6
234,827,6,8
235,829,1,21
236,835,17,10
237,836,5,2
238,841,19,10
239,843,16,13
240,850,3,6
241,854,11,12
242,854,4,17
243,855,20,15
244,856,20,13
245,865,18,20
246,876,21,9
247,877,20,10
248,877,14,6
249,878,13,14
250,882,13,1
251,882,23,10
252,885,1,11
253,887,2,16
254,904,18,9
255,907,7,10
256,910,2,17
257,916,12,10
258,923,24,10
259,923,6,3
260,923,17,12
261,924,6,8
262,925,13,9
263,929,19,7
264,935,2,1
265,938,24,21
266,940,8,20
267,943,11,9
268,945,17,13
